filename | text
clip_0001.wav| There was once a merchant who employed many carpenters and masons to build a temple in his garden.
clip_0002.wav| Regularly, they would start work in the morning, and take a break for the mid-day meals, and return to resume work till evening.
clip_0003.wav| One day, a group of monkeys arrived at the site of the building and watched the workers leaving for their mid-day meals.
clip_0004.wav| One of the carpenters was sawing a huge log of wood.
clip_0005.wav| Since it was only half-done he placed a wedge in between to prevent the log from closing up.
clip_0006.wav| He then went off along with the other workers for his meal.
clip_0007.wav| When all the workers were gone, the monkeys came down from the trees and started jumping around the site, and playing with the instruments.
clip_0008.wav| There was one monkey, who got curious about the wedge placed between the log.
clip_0009.wav| He sat down on the log, and having placed himself in between the half-split log, caught hold of the wedge and started pulling at it.
clip_0010.wav| All of a sudden, the wedge came out.
clip_0011.wav| As a result, the half-split log closed in and the monkey got caught in the gap of the log.
clip_0012.wav| As was his destiny, he was severely wounded.
clip_0013.wav| The wise indeed say, One, who interferes in other's work, surely comes to grief.
clip_0014.wav| One day, a jackal called Gomaya was very hungry, and was wandering about in search of food.
clip_0015.wav| After some time, he wandered out of the jungle he lived in, and reached a deserted battlefield.
clip_0016.wav| In this deserted battlefield, a battle was fought recently.
clip_0017.wav| The fighting armies had left behind a drum, which was lying near a tree.
clip_0018.wav| As strong winds blew, the branches of the tree got rubbed against the drum.
clip_0019.wav| This made a strange noise.
clip_0020.wav| When the jackal heard this sound, he got very frightened and thought of running away.
clip_0021.wav| If I cannot flee from here before I am seen by the person making all this noise, I will be in trouble.
clip_0022.wav| As he was about to run away, he had a second thought.
clip_0023.wav| It is unwise to run away from something without knowing.
clip_0024.wav| Instead, I must be careful in finding out the source of this noise.
clip_0025.wav| He took the courage to creep forward cautiously.
clip_0026.wav| When he saw the drum, he realized that it was only the wind that was causing all the noise.
clip_0027.wav| He continued his search for food, and near the drum he found sufficient food and water.
clip_0028.wav| The wise indeed say, Only the brave succeed in life.
clip_0029.wav| In a city called Vardhamana, lived a very efficient and prosperous merchant.
clip_0030.wav| The king was aware of his abilities, and therefore made him the administrator of the kingdom.
clip_0031.wav| With his efficient and intelligent ways, he kept common man very happy, and at the same time he impressed the king on the other side.
clip_0032.wav| Such a person, who can keep everybody happy, is rarely found.
clip_0033.wav| Later, there came a time that the merchant's daughter was getting married.
clip_0034.wav| He arranged for a lavish reception.
clip_0035.wav| The merchant not only invited the king and the queen, who obliged by attending, but he also invited the entire royal household and all respected people of the kingdom.
clip_0036.wav| During the reception, he ensured to provide his guests with the best of treatments.
clip_0037.wav| He gave out gifts to guests to show them respect for attending to his invitation.
clip_0038.wav| A servant of the royal household, who used to sweep the palace, was not invited but attended the reception.
clip_0039.wav| He took a seat which was reserved for royal nobles, not meant for common invitees.
clip_0040.wav| This made the merchant very angry.
clip_0041.wav| He caught him by the neck and ordered his servants to have him thrown out.
clip_0042.wav| The royal servant felt very insulted, and could not sleep all night.
clip_0043.wav| He thought, If I can have the king to disfavour this merchant, I will have my revenge.
clip_0044.wav| But what can I, a common fellow, do to harm a powerful person as him.
clip_0045.wav| Thinking such, he suddenly had a plan.
clip_0046.wav| Several days later, the servant was sweeping the floor near the king's bed early in the morning.
clip_0047.wav| He observed that that the king was still in bed, half awake.
clip_0048.wav| The servant started mumbling, Good heavens! The merchant has become so carefree now that he dared to embrace the queen!
clip_0049.wav| When the king heard this lying in his bed, he jumped up and asked the servant, Is it true? Have you seen the merchant embrace my queen yourself?
clip_0050.wav| The servant at once fell at the king's feet, O Master, I was gambling all night.
clip_0051.wav| I feel drowsy for I didn't sleep last night.
clip_0052.wav| I don't know what I have been mumbling, but I said anything improper, please forgive me.
clip_0053.wav| The king spoke no more, but the servant knew he had sowed the seed of distrust.
clip_0054.wav| The king thought, It can be true! The servant moves about the palace freely, and so does the merchant.
clip_0055.wav| It is possible that the servant has seen something.
clip_0056.wav| The king was troubled with jealousy.
clip_0057.wav| From that day onwards, he withdrew his favours from the merchant and even forbade him to enter the palace.
clip_0058.wav| One day, when the merchant was entering the gateway to the palace, he was stopped by the guards.
clip_0059.wav| The merchant was surprised due to this sudden change in the king's attitude.
clip_0060.wav| The servant was nearby, and mocking shouted at the guards, Ho Guards! That merchant is favoured by the king, He is a powerful person.
clip_0061.wav| He can have people arrested or released or even thrown out, just like he had me thrown out of his daughter's reception.
clip_0062.wav| Beware, for you may suffer the same fate.
clip_0063.wav| On hearing this, the merchant understood that the servant has caused all this trouble somehow.
clip_0064.wav| He felt dejected, and returned home upset over the incident.
clip_0065.wav| He gave everything a second thought, and then he invited the royal servant to his house.
clip_0066.wav| He treated the servant with utmost respect, and flattered him with gifts and garments.
clip_0067.wav| He said kindly, O friend, that day I did not have you thrown out due to anger, but it was improper of you to occupy the seat reserved for the royal nobles.
clip_0068.wav| They felt insulted, and out of compulsion I had to throw you out. Please forgive me.
clip_0069.wav| The servant was already flattered with all the gifts, and he was full of joy, Sir, I forgive you. You have not only expressed your regrets, but also honoured me with utmost respect.
clip_0070.wav| He ensured the merchant, I will prove you how clever I am.
clip_0071.wav| I will have the king favourable towards you, like he was before.
clip_0072.wav| The servant went back home.
clip_0073.wav| Early next morning, when he started sweeping the floors of the palace, he waited till when the king was lying half-awake.
clip_0074.wav| When the opportunity came, he started sweeping around his bed and started mumbling, Our king is crazy, he eats cucumber in the lavatory!
clip_0075.wav| On hearing this, the king was taken aback.
clip_0076.wav| He got up angrily and shouted at the servant, What nonsense do you talk about? Had you not been by royal servant, I would have punished you dearly.
clip_0077.wav| Have you ever seen me doing such thing yourself?
clip_0078.wav| Once again the servant fell on his knees and prayed, O Master, please forgive me if I said something improper.
clip_0079.wav| The king thought to himself, I have never eaten a cucumber in the lavatory.
clip_0080.wav| What he mumbled about me is ridiculously false.
clip_0081.wav| Surely then, what he mumbled about my trusted merchant the other morning must have been ridiculously false too.
clip_0082.wav| It was improper of me to mistreat the merchant.
clip_0083.wav| He wondered, After all he has been so efficient in the whole administrative system, that without him it has become slack.
clip_0084.wav| Thus, having considered carefully, the king invited the merchant to the palace and flattered him with gifts, jewels and garments.
clip_0085.wav| He re-appointed the merchant to his previously held position, and favoured his services as before.
clip_0086.wav| The wise indeed say, One should treat one and all, even the lowest, with respect.
clip_0087.wav| Once upon a time, there was a sage called Deva Sharma who lived in a temple in the outskirts of a town.
clip_0088.wav| He was widely known and respected.
clip_0089.wav| People would visit him, and offer him with gifts, food, money and garments to seek his blessings.
clip_0090.wav| The gifts that he did not need for himself, he would sell off, and got rich on the proceeds.
clip_0091.wav| And by nature, he trusted nobody.
clip_0092.wav| So, he kept all his money in a bag which he carried under his arm all the time.
clip_0093.wav| He would not part with the bag for a single moment.
clip_0094.wav| One day, a swindler came across the sage, and he became sure that the bag this holy man was so possessive of, must surely contain a lot of treasure.
clip_0095.wav| He planned on stealing the bag from the sage, but could not think of a way to do so.
clip_0096.wav| He thought, I cannot make a hole in the temple wall, or jump over the high gates.
clip_0097.wav| But I can charm him with sweet words to accept me as his disciple.
